"date","cases","btc_transactions"
"1",2020-01-27,2927,279240
"2",2020-01-28,2651,340052
"3",2020-01-29,589,340562
"4",2020-01-30,2068,332558
"5",2020-01-31,1692,334434
"6",2020-02-01,2111,303724
"7",2020-02-02,4749,290879
"8",2020-02-03,3100,331012
"9",2020-02-04,4011,309190
"10",2020-02-05,3745,368604
"11",2020-02-06,3162,315370
"12",2020-02-07,3594,334938
"13",2020-02-08,2731,318363
"14",2020-02-09,3031,317070
"15",2020-02-10,2608,298104
"16",2020-02-11,2042,365583
"17",2020-02-12,418,344615
"18",2020-02-13,15152,340081
"19",2020-02-14,6528,326078
"20",2020-02-15,2143,322721
"21",2020-02-16,2183,292236
"22",2020-02-17,2035,341491
"23",2020-02-18,1882,331050
"24",2020-02-19,500,334805
"25",2020-02-20,560,316626
"26",2020-02-21,629,338484
"27",2020-02-22,1761,304597
"28",2020-02-23,380,285579
"29",2020-02-24,568,328890
"30",2020-02-25,854,334593
"31",2020-02-26,977,329967
"32",2020-02-27,1359,338781
"33",2020-02-28,1388,368590
"34",2020-02-29,1894,307527
"35",2020-03-01,2378,309849
"36",2020-03-02,1979,342821
"37",2020-03-03,2601,342324
"38",2020-03-04,2302,358745
"39",2020-03-05,2818,349529
"40",2020-03-06,3916,338383
"41",2020-03-07,4097,313312
"42",2020-03-08,3938,302694
"43",2020-03-09,4181,348211
"44",2020-03-10,4823,329698
"45",2020-03-11,7659,287492
"46",2020-03-12,5799,349978
"47",2020-03-13,14351,276798
"48",2020-03-14,11098,279828
"49",2020-03-15,11279,223230
"50",2020-03-16,14793,270399
"51",2020-03-17,16005,278326
"52",2020-03-18,19547,231254
"53",2020-03-19,27098,265689
"54",2020-03-20,30881,284594
"55",2020-03-21,32115,245896
"56",2020-03-22,35141,209154
"57",2020-03-23,42667,259816
"58",2020-03-24,41086,278131
"59",2020-03-25,51089,218176
"60",2020-03-26,62862,292828
"61",2020-03-27,64910,276546
"62",2020-03-28,69665,240627
"63",2020-03-29,56900,232820
"64",2020-03-30,65279,276828
"65",2020-03-31,76819,290227
"66",2020-04-01,82914,281855
"67",2020-04-02,82911,299176
"68",2020-04-03,84315,278763
"69",2020-04-04,58933,253274
"70",2020-04-05,71106,240259
"71",2020-04-06,73874,280470
"72",2020-04-07,69401,312770
"73",2020-04-08,83325,286563
"74",2020-04-09,87356,286706
"75",2020-04-10,85390,288585
"76",2020-04-11,74477,247852
"77",2020-04-12,119535,228529
"78",2020-04-13,70986,288113
"79",2020-04-14,83848,299391
"80",2020-04-15,78160,310253
"81",2020-04-16,95386,322903
"82",2020-04-17,88195,284222
"83",2020-04-18,77249,289134
"84",2020-04-19,76826,251984
"85",2020-04-20,75439,310810
"86",2020-04-21,75956,310851
"87",2020-04-22,81839,278755
"88",2020-04-23,83514,329045
"89",2020-04-24,83928,320055
"90",2020-04-25,82967,280805
"91",2020-04-26,71441,252833
"92",2020-04-27,70204,311217
"93",2020-04-28,75806,323475
"94",2020-04-29,76987,331401
"95",2020-04-30,83370,321972
"96",2020-05-01,88597,340574
"97",2020-05-02,79660,286773
"98",2020-05-03,74902,281752
"99",2020-05-04,77188,326098
"100",2020-05-05,80103,329075
"101",2020-05-06,90402,333395
"102",2020-05-07,88890,341986
"103",2020-05-08,90581,323625
"104",2020-05-09,84155,312399
"105",2020-05-10,75696,286789
"106",2020-05-11,76353,305839
"107",2020-05-12,84439,345215
"108",2020-05-13,84954,296796
"109",2020-05-14,95878,268750
"110",2020-05-15,96151,310642
"111",2020-05-16,94278,296555
"112",2020-05-17,78427,236808
"113",2020-05-18,88714,273723
"114",2020-05-19,96796,274897
"115",2020-05-20,102121,280037
"116",2020-05-21,106679,298483
"117",2020-05-22,106338,278784
"118",2020-05-23,104449,269230
"119",2020-05-24,94822,214530
"120",2020-05-25,86588,265875
"121",2020-05-26,92807,295782
"122",2020-05-27,103535,292927
"123",2020-05-28,118517,299910
"124",2020-05-29,121116,280960
"125",2020-05-30,136861,286046
"126",2020-05-31,106731,258427
"127",2020-06-01,95705,308312
"128",2020-06-02,121708,304114
"129",2020-06-03,114183,314000
"130",2020-06-04,130842,318285
"131",2020-06-05,131070,327082
"132",2020-06-06,133888,284873
"133",2020-06-07,112806,252368
"134",2020-06-08,101222,317275
"135",2020-06-09,124552,327074
"136",2020-06-10,135320,325163
"137",2020-06-11,137286,332490
"138",2020-06-12,129214,318274
"139",2020-06-13,135008,280181
"140",2020-06-14,132736,275723
"141",2020-06-15,118348,294468
"142",2020-06-16,141645,340517
"143",2020-06-17,144757,333547
"144",2020-06-18,140681,280603
"145",2020-06-19,180188,347436
"146",2020-06-20,157653,284123
"147",2020-06-21,128856,259440
"148",2020-06-22,138201,301396
"149",2020-06-23,167033,355256
"150",2020-06-24,172910,312321
"151",2020-06-25,178438,312183
"152",2020-06-26,191732,330381
"153",2020-06-27,178757,275489
"154",2020-06-28,165026,264909
"155",2020-06-29,153531,315424
"156",2020-06-30,176339,299733
"157",2020-07-01,217285,382570
"158",2020-07-02,209724,339469
"159",2020-07-03,202766,331009
"160",2020-07-04,196989,288647
"161",2020-07-05,183696,274104
"162",2020-07-06,163584,338767
"163",2020-07-07,209727,345975
"164",2020-07-08,213802,347455
"165",2020-07-09,224924,362718
"166",2020-07-10,232693,345996
"167",2020-07-11,217784,306771
"168",2020-07-12,194512,282364
"169",2020-07-13,189975,310227
"170",2020-07-14,220793,359847
"171",2020-07-15,230961,316064
"172",2020-07-16,251857,345849
"173",2020-07-17,242784,293907
"174",2020-07-18,237281,311022
"175",2020-07-19,214416,277093
"176",2020-07-20,205360,309747
"177",2020-07-21,234591,312871
"178",2020-07-22,279833,364792
"179",2020-07-23,282706,336245
"180",2020-07-24,281901,369432
"181",2020-07-25,256114,293883
"182",2020-07-26,214370,298580
"183",2020-07-27,225817,326769
"184",2020-07-28,249988,354742
"185",2020-07-29,288242,346521
"186",2020-07-30,280268,327789
"187",2020-07-31,290785,356906
"188",2020-08-01,251389,296705
"189",2020-08-02,231389,287869
"190",2020-08-03,206231,333753
"191",2020-08-04,254124,329032
"192",2020-08-05,278019,291814
"193",2020-08-06,283004,356612
"194",2020-08-07,283993,326499
"195",2020-08-08,259652,283631
"196",2020-08-09,227036,268402
"197",2020-08-10,223488,308367
"198",2020-08-11,262269,349952
"199",2020-08-12,273409,346405
"200",2020-08-13,289415,325346
"201",2020-08-14,303401,365679
"202",2020-08-15,250499,313760
"203",2020-08-16,215381,285069
"204",2020-08-17,206595,292944
"205",2020-08-18,256142,346036
"206",2020-08-19,276428,333879
"207",2020-08-20,273202,333683
"208",2020-08-21,261182,314297
"209",2020-08-22,265577,311699
"210",2020-08-23,206565,288728
"211",2020-08-24,223556,329133
"212",2020-08-25,244619,304409
"213",2020-08-26,282306,324184
"214",2020-08-27,284839,328157
"215",2020-08-28,283360,352722
"216",2020-08-29,265314,292783
"217",2020-08-30,221546,269114
"218",2020-08-31,260087,302920
"219",2020-09-01,266043,376508
"220",2020-09-02,283129,317449
"221",2020-09-03,281600,310922
"222",2020-09-04,314325,298286
"223",2020-09-05,270440,325523
"224",2020-09-06,230359,262820
"225",2020-09-07,218183,327662
"226",2020-09-08,240524,332668
"227",2020-09-09,285308,314864
"228",2020-09-10,299829,345981
"229",2020-09-11,321727,308323
"230",2020-09-12,287253,300152
"231",2020-09-13,242937,255110
"232",2020-09-14,262521,354020
"233",2020-09-15,285399,332957
"234",2020-09-16,304478,342609
"235",2020-09-17,314846,348581
"236",2020-09-18,326042,325157
"237",2020-09-19,292761,296357
"238",2020-09-20,252665,259095
"239",2020-09-21,274606,297605
"240",2020-09-22,284852,312989
"241",2020-09-23,276002,349938
"242",2020-09-24,353630,316552
"243",2020-09-25,331256,353070
"244",2020-09-26,288922,276162
"245",2020-09-27,251995,259382
"246",2020-09-28,254152,295476
"247",2020-09-29,282869,347696
"248",2020-09-30,326051,351417
"249",2020-10-01,318726,304757
"250",2020-10-02,298167,315443
"251",2020-10-03,334230,310855
"252",2020-10-04,260298,268019
"253",2020-10-05,299442,294986
"254",2020-10-06,326104,317922
"255",2020-10-07,351246,370554
"256",2020-10-08,361641,330227
"257",2020-10-09,361257,339343
"258",2020-10-10,357728,298486
"259",2020-10-11,288018,256096
"260",2020-10-12,291593,314174
"261",2020-10-13,318251,333215
"262",2020-10-14,381779,314541
"263",2020-10-15,407380,340993
"264",2020-10-16,411814,324647
"265",2020-10-17,374738,275069
"266",2020-10-18,316755,231557
"267",2020-10-19,386225,303929
"268",2020-10-20,388960,330563
"269",2020-10-21,444755,311292
"270",2020-10-22,472442,339087
"271",2020-10-23,497669,323869
"272",2020-10-24,457769,306774
"273",2020-10-25,361273,242273
"274",2020-10-26,485105,252494
"275",2020-10-27,470715,251938
"276",2020-10-28,512118,261340
"277",2020-10-29,550693,276070
"278",2020-10-30,572137,268364
"279",2020-10-31,478276,275796
"280",2020-11-01,464191,276280
"281",2020-11-02,561292,224609
"282",2020-11-03,555976,331673
"283",2020-11-04,511384,320697
"284",2020-11-05,597326,318668
"285",2020-11-06,644955,340351
"286",2020-11-07,601876,270901
"287",2020-11-08,484722,243047
"288",2020-11-09,499101,326383
"289",2020-11-10,560328,303270
"290",2020-11-11,651681,322277
"291",2020-11-12,646446,324855
"292",2020-11-13,653081,300040
"293",2020-11-14,599559,273511
"294",2020-11-15,475507,252715
"295",2020-11-16,530541,311477
"296",2020-11-17,611748,347772
"297",2020-11-18,627445,362007
"298",2020-11-19,654464,311061
"299",2020-11-20,672746,348026
"300",2020-11-21,590959,311189
"301",2020-11-22,488192,271125
"302",2020-11-23,522544,297840
"303",2020-11-24,593143,333293
"304",2020-11-25,639020,361990
"305",2020-11-26,589217,323975
"306",2020-11-27,682822,322445
"307",2020-11-28,590052,293949
"308",2020-11-29,489619,263573
"309",2020-11-30,503863,256551
"310",2020-12-01,619958,378068
"311",2020-12-02,654981,327019
"312",2020-12-03,696614,346921
"313",2020-12-04,687815,318894
"314",2020-12-05,649309,282599
"315",2020-12-06,537324,258624
"316",2020-12-07,515424,300906
"317",2020-12-08,652345,330970
"318",2020-12-09,672001,321079
"319",2020-12-10,1503571,313649
"320",2020-12-11,708579,304735
"321",2020-12-12,641789,295410
"322",2020-12-13,530149,276160
"323",2020-12-14,531761,314350
"324",2020-12-15,652514,320440
"325",2020-12-16,731962,315217
"326",2020-12-17,741520,309481
"327",2020-12-18,721603,375549
"328",2020-12-19,625006,343536
"329",2020-12-20,532152,282043
"330",2020-12-21,540314,269834
"331",2020-12-22,661645,324163
"332",2020-12-23,696275,338463
"333",2020-12-24,682170,269559
"334",2020-12-25,480399,303901
"335",2020-12-26,507699,273954
"336",2020-12-27,433133,309005
"337",2020-12-28,488146,308983
"338",2020-12-29,672417,336311
"339",2020-12-30,740701,338258
"340",2020-12-31,777486,344918
"341",2021-01-01,566617,258080
"342",2021-01-02,605642,297111
"343",2021-01-03,522961,359116
"344",2021-01-04,550316,373734
"345",2021-01-05,743814,354091
"346",2021-01-06,791354,397384
"347",2021-01-07,892740,401744
"348",2021-01-08,816986,358526
"349",2021-01-09,762852,321389
"350",2021-01-10,590667,331865
"351",2021-01-11,616586,333958
"352",2021-01-12,701068,336627
"353",2021-01-13,751175,319167
"354",2021-01-14,760117,338809
"355",2021-01-15,773497,344002
"356",2021-01-16,647963,308461
"357",2021-01-17,529020,271874
"358",2021-01-18,514042,313816
"359",2021-01-19,599665,325083
"360",2021-01-20,697734,314809
"361",2021-01-21,657491,290754
"362",2021-01-22,660674,323868
"363",2021-01-23,575073,308276
"364",2021-01-24,458742,253971
"365",2021-01-25,491214,309102
"366",2021-01-26,556402,336935
"367",2021-01-27,602232,323553
"368",2021-01-28,614502,325146
"369",2021-01-29,591824,341036
"370",2021-01-30,521339,312313
"371",2021-01-31,389671,290753
"372",2021-02-01,443924,277579
"373",2021-02-02,460115,367835
"374",2021-02-03,527215,344425
"375",2021-02-04,469421,367788
"376",2021-02-05,535756,360541
"377",2021-02-06,381773,333886
"378",2021-02-07,405792,286364
"379",2021-02-08,313765,335223
"380",2021-02-09,430820,360137
"381",2021-02-10,439344,340758
"382",2021-02-11,444933,304739
"383",2021-02-12,431549,343306
"384",2021-02-13,378216,336624
"385",2021-02-14,300059,295428
"386",2021-02-15,286411,311322
"387",2021-02-16,350329,296388
"388",2021-02-17,397891,317666
"389",2021-02-18,407899,316952
"390",2021-02-19,414215,341586
"391",2021-02-20,375829,320475
"392",2021-02-21,320727,271645
"393",2021-02-22,289756,285383
"394",2021-02-23,392058,287884
"395",2021-02-24,448153,358092
"396",2021-02-25,451042,326116
"397",2021-02-26,446975,306416
"398",2021-02-27,394046,320784
"399",2021-02-28,309000,254316
"400",2021-03-01,304795,280485
"401",2021-03-02,313463,338150
"402",2021-03-03,443639,333402
"403",2021-03-04,456327,289631
"404",2021-03-05,449881,317780
"405",2021-03-06,415168,287963
"406",2021-03-07,372637,260739
"407",2021-03-08,300287,291955
"408",2021-03-09,415481,299682
"409",2021-03-10,469406,344688
"410",2021-03-11,479183,291245
"411",2021-03-12,491790,320744
"412",2021-03-13,457042,277072
"413",2021-03-14,364419,308050
"414",2021-03-15,348978,292231
"415",2021-03-16,467561,319493
"416",2021-03-17,551602,296119
"417",2021-03-18,543903,331718
"418",2021-03-19,564368,316180
"419",2021-03-20,501508,286948
"420",2021-03-21,436914,234936
"421",2021-03-22,416314,297410
"422",2021-03-23,515865,314234
"423",2021-03-24,635467,305093
"424",2021-03-25,653391,318562
"425",2021-03-26,642927,293610
"426",2021-03-27,585823,288259
"427",2021-03-28,475431,248605
"428",2021-03-29,457624,303305
"429",2021-03-30,569988,321090
"430",2021-03-31,684699,332749
"431",2021-04-01,713658,311939
"432",2021-04-02,636543,305788
"433",2021-04-03,531674,281717
"434",2021-04-04,556095,246007
"435",2021-04-05,485758,289046
"436",2021-04-06,605478,309565
"437",2021-04-07,686113,321319
"438",2021-04-08,841047,278534
"439",2021-04-09,750760,324720
"440",2021-04-10,668322,299086
