"date","cases","eth_transactions"
"1",2020-01-27,2927,476541
"2",2020-01-28,2651,526284
"3",2020-01-29,589,551529
"4",2020-01-30,2068,566052
"5",2020-01-31,1692,583358
"6",2020-02-01,2111,545761
"7",2020-02-02,4749,530094
"8",2020-02-03,3100,621191
"9",2020-02-04,4011,524476
"10",2020-02-05,3745,610780
"11",2020-02-06,3162,606505
"12",2020-02-07,3594,626252
"13",2020-02-08,2731,661649
"14",2020-02-09,3031,628631
"15",2020-02-10,2608,668760
"16",2020-02-11,2042,709280
"17",2020-02-12,418,798162
"18",2020-02-13,15152,764763
"19",2020-02-14,6528,771827
"20",2020-02-15,2143,699151
"21",2020-02-16,2183,661490
"22",2020-02-17,2035,695366
"23",2020-02-18,1882,733983
"24",2020-02-19,500,695837
"25",2020-02-20,560,689600
"26",2020-02-21,629,670542
"27",2020-02-22,1761,605859
"28",2020-02-23,380,606290
"29",2020-02-24,568,687702
"30",2020-02-25,854,670257
"31",2020-02-26,977,704929
"32",2020-02-27,1359,714482
"33",2020-02-28,1388,688694
"34",2020-02-29,1894,620465
"35",2020-03-01,2378,628500
"36",2020-03-02,1979,681477
"37",2020-03-03,2601,661419
"38",2020-03-04,2302,663966
"39",2020-03-05,2818,720114
"40",2020-03-06,3916,676799
"41",2020-03-07,4097,630992
"42",2020-03-08,3938,662565
"43",2020-03-09,4181,784085
"44",2020-03-10,4823,760588
"45",2020-03-11,7659,713065
"46",2020-03-12,5799,760781
"47",2020-03-13,14351,847947
"48",2020-03-14,11098,681830
"49",2020-03-15,11279,657653
"50",2020-03-16,14793,784094
"51",2020-03-17,16005,763100
"52",2020-03-18,19547,768437
"53",2020-03-19,27098,864017
"54",2020-03-20,30881,822158
"55",2020-03-21,32115,857503
"56",2020-03-22,35141,746195
"57",2020-03-23,42667,801238
"58",2020-03-24,41086,791900
"59",2020-03-25,51089,765389
"60",2020-03-26,62862,772649
"61",2020-03-27,64910,748776
"62",2020-03-28,69665,667726
"63",2020-03-29,56900,607984
"64",2020-03-30,65279,724004
"65",2020-03-31,76819,731749
"66",2020-04-01,82914,683007
"67",2020-04-02,82911,720554
"68",2020-04-03,84315,722688
"69",2020-04-04,58933,625952
"70",2020-04-05,71106,614001
"71",2020-04-06,73874,771300
"72",2020-04-07,69401,783472
"73",2020-04-08,83325,830223
"74",2020-04-09,87356,727502
"75",2020-04-10,85390,745643
"76",2020-04-11,74477,680523
"77",2020-04-12,119535,678530
"78",2020-04-13,70986,744306
"79",2020-04-14,83848,813972
"80",2020-04-15,78160,792152
"81",2020-04-16,95386,790334
"82",2020-04-17,88195,785639
"83",2020-04-18,77249,783111
"84",2020-04-19,76826,741675
"85",2020-04-20,75439,828885
"86",2020-04-21,75956,812963
"87",2020-04-22,81839,790519
"88",2020-04-23,83514,826397
"89",2020-04-24,83928,846807
"90",2020-04-25,82967,792299
"91",2020-04-26,71441,801949
"92",2020-04-27,70204,841193
"93",2020-04-28,75806,838453
