"date","cases","deaths","btc_transactions","eth_transactions"
"1",2020-01-27,2927,82,279240,476541
"2",2020-01-28,2651,49,340052,526284
"3",2020-01-29,589,2,340562,551529
"4",2020-01-30,2068,38,332558,566052
"5",2020-01-31,1692,42,334434,583358
"6",2020-02-01,2111,46,303724,545761
"7",2020-02-02,4749,103,290879,530094
"8",2020-02-03,3100,64,331012,621191
"9",2020-02-04,4011,66,309190,524476
"10",2020-02-05,3745,72,368604,610780
"11",2020-02-06,3162,70,315370,606505
"12",2020-02-07,3594,85,334938,626252
"13",2020-02-08,2731,87,318363,661649
"14",2020-02-09,3031,100,317070,628631
"15",2020-02-10,2608,107,298104,668760
"16",2020-02-11,2042,100,365583,709280
"17",2020-02-12,418,5,344615,798162
"18",2020-02-13,15152,253,340081,764763
"19",2020-02-14,6528,152,326078,771827
"20",2020-02-15,2143,143,322721,699151
"21",2020-02-16,2183,104,292236,661490
"22",2020-02-17,2035,98,341491,695366
"23",2020-02-18,1882,140,331050,733983
"24",2020-02-19,500,115,334805,695837
"25",2020-02-20,560,125,316626,689600
"26",2020-02-21,629,4,338484,670542
"27",2020-02-22,1761,207,304597,605859
"28",2020-02-23,380,11,285579,606290
"29",2020-02-24,568,160,328890,687702
"30",2020-02-25,854,80,334593,670257
"31",2020-02-26,977,61,329967,704929
"32",2020-02-27,1359,43,338781,714482
"33",2020-02-28,1388,59,368590,688694
"34",2020-02-29,1894,70,307527,620465
"35",2020-03-01,2378,54,309849,628500
"36",2020-03-02,1979,89,342821,681477
"37",2020-03-03,2601,74,342324,661419
"38",2020-03-04,2302,95,358745,663966
"39",2020-03-05,2818,93,349529,720114
"40",2020-03-06,3916,113,338383,676799
"41",2020-03-07,4097,104,313312,630992
"42",2020-03-08,3938,240,302694,662565
"43",2020-03-09,4181,190,348211,784085
"44",2020-03-10,4823,276,329698,760588
"45",2020-03-11,7659,345,287492,713065
"46",2020-03-12,5799,309,349978,760781
"47",2020-03-13,14351,492,276798,847947
"48",2020-03-14,11098,421,279828,681830
"49",2020-03-15,11279,650,223230,657653
"50",2020-03-16,14793,687,270399,784094
"51",2020-03-17,16005,816,278326,763100
"52",2020-03-18,19547,918,231254,768437
"53",2020-03-19,27098,1116,265689,864017
"54",2020-03-20,30881,1495,284594,822158
"55",2020-03-21,32115,1723,245896,857503
