"date","deaths","eth_blocks"
"1",2020-01-27,82,6552
"2",2020-01-28,49,6511
"3",2020-01-29,2,6551
"4",2020-01-30,38,6452
"5",2020-01-31,42,6489
"6",2020-02-01,46,6488
"7",2020-02-02,103,6537
"8",2020-02-03,64,6524
"9",2020-02-04,66,6566
"10",2020-02-05,72,6456
"11",2020-02-06,70,6516
"12",2020-02-07,85,6509
"13",2020-02-08,87,6467
"14",2020-02-09,100,6491
"15",2020-02-10,107,6592
"16",2020-02-11,100,6534
"17",2020-02-12,5,6463
"18",2020-02-13,253,6481
"19",2020-02-14,152,6493
"20",2020-02-15,143,6472
"21",2020-02-16,104,6552
"22",2020-02-17,98,6447
"23",2020-02-18,140,6480
"24",2020-02-19,115,6557
"25",2020-02-20,125,6480
"26",2020-02-21,4,6475
"27",2020-02-22,207,6528
"28",2020-02-23,11,6532
"29",2020-02-24,160,6481
"30",2020-02-25,80,6456
"31",2020-02-26,61,6528
"32",2020-02-27,43,6513
"33",2020-02-28,59,6501
"34",2020-02-29,70,6519
"35",2020-03-01,54,6495
"36",2020-03-02,89,6533
"37",2020-03-03,74,6501
"38",2020-03-04,95,6536
"39",2020-03-05,93,6409
"40",2020-03-06,113,6568
"41",2020-03-07,104,6540
"42",2020-03-08,240,6552
"43",2020-03-09,190,6431
"44",2020-03-10,276,6498
"45",2020-03-11,345,6529
"46",2020-03-12,309,6448
"47",2020-03-13,492,6382
"48",2020-03-14,421,6490
"49",2020-03-15,650,6513
"50",2020-03-16,687,6488
"51",2020-03-17,816,6509
"52",2020-03-18,918,6531
"53",2020-03-19,1116,6482
"54",2020-03-20,1495,6436
"55",2020-03-21,1723,6444
"56",2020-03-22,1684,6300
"57",2020-03-23,1958,6448
"58",2020-03-24,2310,6348
"59",2020-03-25,2824,6374
"60",2020-03-26,3040,6478
"61",2020-03-27,3485,6554
"62",2020-03-28,3836,6488
"63",2020-03-29,3477,6573
"64",2020-03-30,4081,6460
"65",2020-03-31,4732,6472
"66",2020-04-01,6014,6553
"67",2020-04-02,5892,6484
"68",2020-04-03,6178,6527
"69",2020-04-04,5980,6491
"70",2020-04-05,5243,6507
"71",2020-04-06,5935,6433
"72",2020-04-07,8311,6554
"73",2020-04-08,6829,6502
"74",2020-04-09,7868,6479
"75",2020-04-10,7417,6515
"76",2020-04-11,6286,6412
"77",2020-04-12,5940,6581
"78",2020-04-13,6019,6510
"79",2020-04-14,7105,6482
"80",2020-04-15,8544,6491
"81",2020-04-16,7419,6469
"82",2020-04-17,8501,6445
"83",2020-04-18,6202,6444
"84",2020-04-19,5351,6487
"85",2020-04-20,6048,6496
"86",2020-04-21,7402,6437
"87",2020-04-22,7027,6481
"88",2020-04-23,6998,6454
"89",2020-04-24,6914,6476
"90",2020-04-25,5884,6418
"91",2020-04-26,4253,6458
"92",2020-04-27,4930,6453
"93",2020-04-28,6835,6420
"94",2020-04-29,6947,6526
"95",2020-04-30,6054,6377
"96",2020-05-01,5471,6475
"97",2020-05-02,5844,6471
"98",2020-05-03,3847,6421
"99",2020-05-04,4552,6541
"100",2020-05-05,6127,6506
"101",2020-05-06,6885,6386
"102",2020-05-07,5697,6455
"103",2020-05-08,5928,6486
"104",2020-05-09,4586,6398
"105",2020-05-10,4041,6493
"106",2020-05-11,3916,6435
"107",2020-05-12,5880,6398
"108",2020-05-13,5486,6484
"109",2020-05-14,5582,6455
"110",2020-05-15,5636,6423
"111",2020-05-16,4550,6402
"112",2020-05-17,3574,6471
"113",2020-05-18,4149,6406
"114",2020-05-19,5127,6386
"115",2020-05-20,5193,6455
"116",2020-05-21,5085,6455
"117",2020-05-22,5657,6353
"118",2020-05-23,4296,6513
"119",2020-05-24,3484,6411
"120",2020-05-25,1614,6363
"121",2020-05-26,4641,6478
"122",2020-05-27,5418,6444
"123",2020-05-28,5011,6413
"124",2020-05-29,5147,6434
"125",2020-05-30,4378,6440
"126",2020-05-31,3155,6475
"127",2020-06-01,3515,6401
"128",2020-06-02,5202,6458
"129",2020-06-03,5844,6401
"130",2020-06-04,5434,6427
"131",2020-06-05,5053,6484
"132",2020-06-06,4214,6435
"133",2020-06-07,3183,6466
"134",2020-06-08,4167,6411
"135",2020-06-09,5200,6480
"136",2020-06-10,5481,6372
"137",2020-06-11,5055,6458
"138",2020-06-12,4807,6506
"139",2020-06-13,4442,6488
"140",2020-06-14,3646,6526
"141",2020-06-15,3838,6462
"142",2020-06-16,7096,6435
"143",2020-06-17,5574,6416
"144",2020-06-18,5321,6450
"145",2020-06-19,6382,6503
"146",2020-06-20,4508,6463
"147",2020-06-21,4619,6505
"148",2020-06-22,3718,6455
"149",2020-06-23,5558,6442
"150",2020-06-24,5559,6483
"151",2020-06-25,5053,6450
"152",2020-06-26,5076,6448
"153",2020-06-27,4772,6365
"154",2020-06-28,3531,6522
"155",2020-06-29,3998,6393
"156",2020-06-30,5202,6479
"157",2020-07-01,5324,6409
"158",2020-07-02,5469,6442
"159",2020-07-03,5315,6475
"160",2020-07-04,4798,6427
"161",2020-07-05,3842,6494
"162",2020-07-06,4149,6457
"163",2020-07-07,6332,6492
